year,sum_mln,organisation_name,organisation_type_name,organisation_type_code,region_code,region_name,gov_support_type
2015,10,"Автономная некоммерческая организация ""Фестиваль ""Золотая маска""",Автономная некоммерческая организация,4,77,Москва,grants
2016,20,"Автономная некоммерческая организация ""Фестиваль ""Золотая маска""",Автономная некоммерческая организация,4,77,Москва,grants
2014,3,"Общественная организация - ""Союз женщин России""",Общественная организация,1,00,Министерство юстиции,grants
2016,1.5,"Автономная некоммерческая организация высшего образования ""Российский новый университет""",Автономная некоммерческая организация,4,77,Москва,grants
2013,1.52381,"Благотворительный фонд поддержки семьи , материнства и детства ""ПОКРОВ""",Некоммерческий фонд,6,58,Пензенская область,grants
2015,5.5,"Благотворительный фонд поддержки семьи , материнства и детства ""ПОКРОВ""",Некоммерческий фонд,6,58,Пензенская область,grants
2016,3.5,"Частное образовательное учреждение дополнительного профессионального образования ""Центр реабилитации слепых"" Общероссийской общественной организации инвалидов ""Всероссийское ордена Трудового Красного Знамени общество слепых""",Учреждение,8,50,Московская область,grants
2013,4.2,"Образовательное учреждение профсоюзов высшего образования ""Академия труда и социальных отношений""",Учреждение,8,77,Москва,grants
2014,3.5,"Образовательное учреждение профсоюзов высшего образования ""Академия труда и социальных отношений""",Учреждение,8,77,Москва,grants
2014,3.947285,"Фонд ""Центр политических технологий""",Некоммерческий фонд,6,77,Москва,grants
2016,4,"Некоммерческое партнерство ""Национальный центр общественного контроля в сфере жилищно-коммунального хозяйства ""ЖКХ Контроль""",Некоммерческое партнерство,5,77,Москва,grants
2014,1.458868,"Учреждение высшего образования ""Университет управления ""ТИСБИ""",Учреждение,8,16,Республика Татарстан (Татарстан),grants
2016,1.5,"Учреждение высшего образования ""Университет управления ""ТИСБИ""",Учреждение,8,16,Республика Татарстан (Татарстан),grants
2013,9.5,"Общероссийский союз ""Федерация Независимых Профсоюзов России""",Профессиональный союз,2,00,Министерство юстиции,grants
2014,4,"Общероссийский союз ""Федерация Независимых Профсоюзов России""",Профессиональный союз,2,00,Министерство юстиции,grants
